degree=1, radian=0.015625, cos=0.994141, sin=0.023438
degree=2, radian=0.033203, cos=0.994141, sin=0.035156
degree=3, radian=0.050781, cos=0.994141, sin=0.050781
degree=4, radian=0.068359, cos=0.994141, sin=0.066406
degree=5, radian=0.085938, cos=0.990234, sin=0.085938
degree=6, radian=0.103516, cos=0.990234, sin=0.101562
degree=7, radian=0.121094, cos=0.990234, sin=0.117188
degree=8, radian=0.138672, cos=0.990234, sin=0.128906
degree=9, radian=0.156250, cos=0.984375, sin=0.156250
degree=10, radian=0.173828, cos=0.980469, sin=0.171875
degree=11, radian=0.191406, cos=0.980469, sin=0.187500
degree=12, radian=0.208984, cos=0.972656, sin=0.207031
degree=13, radian=0.226562, cos=0.972656, sin=0.222656
degree=14, radian=0.244141, cos=0.968750, sin=0.238281
degree=15, radian=0.261719, cos=0.960938, sin=0.265625
degree=16, radian=0.277344, cos=0.957031, sin=0.277344
degree=17, radian=0.294922, cos=0.953125, sin=0.292969
degree=18, radian=0.312500, cos=0.949219, sin=0.308594
degree=19, radian=0.330078, cos=0.939453, sin=0.322266
degree=20, radian=0.347656, cos=0.935547, sin=0.337891
degree=21, radian=0.365234, cos=0.931641, sin=0.353516
degree=22, radian=0.382812, cos=0.921875, sin=0.376953
degree=23, radian=0.400391, cos=0.917969, sin=0.388672
degree=24, radian=0.417969, cos=0.910156, sin=0.404297
degree=25, radian=0.435547, cos=0.906250, sin=0.419922
degree=26, radian=0.453125, cos=0.894531, sin=0.433594
degree=27, radian=0.470703, cos=0.890625, sin=0.449219
degree=28, radian=0.488281, cos=0.878906, sin=0.472656
degree=29, radian=0.505859, cos=0.869141, sin=0.486328
degree=30, radian=0.523438, cos=0.867188, sin=0.498047
degree=31, radian=0.541016, cos=0.853516, sin=0.513672
degree=32, radian=0.556641, cos=0.845703, sin=0.525391
degree=33, radian=0.574219, cos=0.839844, sin=0.542969
degree=34, radian=0.591797, cos=0.828125, sin=0.558594
degree=35, radian=0.609375, cos=0.820312, sin=0.570312
degree=36, radian=0.626953, cos=0.812500, sin=0.582031
degree=37, radian=0.644531, cos=0.796875, sin=0.601562
degree=38, radian=0.662109, cos=0.789062, sin=0.613281
degree=39, radian=0.679688, cos=0.777344, sin=0.628906
degree=40, radian=0.697266, cos=0.765625, sin=0.638672
degree=41, radian=0.714844, cos=0.753906, sin=0.654297
degree=42, radian=0.732422, cos=0.742188, sin=0.667969
degree=43, radian=0.750000, cos=0.726562, sin=0.685547
degree=44, radian=0.767578, cos=0.718750, sin=0.693359
degree=45, radian=0.785156, cos=0.705078, sin=0.707031
degree=46, radian=0.802734, cos=0.693359, sin=0.718750
degree=47, radian=0.818359, cos=0.685547, sin=0.726562
degree=48, radian=0.835938, cos=0.667969, sin=0.742188
degree=49, radian=0.853516, cos=0.654297, sin=0.753906
degree=50, radian=0.871094, cos=0.638672, sin=0.765625
degree=51, radian=0.888672, cos=0.628906, sin=0.777344
degree=52, radian=0.906250, cos=0.613281, sin=0.789062
degree=53, radian=0.923828, cos=0.601562, sin=0.796875
degree=54, radian=0.941406, cos=0.582031, sin=0.812500
degree=55, radian=0.958984, cos=0.570312, sin=0.820312
degree=56, radian=0.976562, cos=0.558594, sin=0.828125
degree=57, radian=0.994141, cos=0.542969, sin=0.839844
degree=58, radian=-0.988281, cos=0.558594, sin=-0.833984
degree=59, radian=-0.970703, cos=0.550781, sin=-0.822266
degree=60, radian=-0.953125, cos=0.593750, sin=-0.814453
degree=61, radian=-0.935547, cos=0.574219, sin=-0.802734
degree=62, radian=-0.917969, cos=0.625000, sin=-0.791016
degree=63, radian=-0.902344, cos=0.636719, sin=-0.783203
degree=64, radian=-0.884766, cos=0.652344, sin=-0.775391
degree=65, radian=-0.867188, cos=0.660156, sin=-0.759766
degree=66, radian=-0.849609, cos=0.650391, sin=-0.744141
degree=67, radian=-0.832031, cos=0.689453, sin=-0.736328
degree=68, radian=-0.814453, cos=0.673828, sin=-0.724609
degree=69, radian=-0.796875, cos=0.720703, sin=-0.712891
degree=70, radian=-0.779297, cos=0.691406, sin=-0.697266
degree=71, radian=-0.761719, cos=0.730469, sin=-0.689453
degree=72, radian=-0.744141, cos=0.710938, sin=-0.673828
degree=73, radian=-0.726562, cos=0.757812, sin=-0.662109
degree=74, radian=-0.708984, cos=0.769531, sin=-0.652344
degree=75, radian=-0.691406, cos=0.781250, sin=-0.640625
degree=76, radian=-0.673828, cos=0.789062, sin=-0.625000
degree=77, radian=-0.656250, cos=0.773438, sin=-0.605469
degree=78, radian=-0.638672, cos=0.792969, sin=-0.589844
degree=79, radian=-0.623047, cos=0.792969, sin=-0.582031
degree=80, radian=-0.605469, cos=0.839844, sin=-0.566406
degree=81, radian=-0.587891, cos=0.847656, sin=-0.554688
degree=82, radian=-0.570312, cos=0.859375, sin=-0.542969
degree=83, radian=-0.552734, cos=0.830078, sin=-0.521484
degree=84, radian=-0.535156, cos=0.869141, sin=-0.509766
degree=85, radian=-0.517578, cos=0.853516, sin=-0.490234
degree=86, radian=-0.500000, cos=0.859375, sin=-0.476562
degree=87, radian=-0.482422, cos=0.871094, sin=-0.460938
degree=88, radian=-0.464844, cos=0.906250, sin=-0.445312
degree=89, radian=-0.447266, cos=0.914062, sin=-0.433594
