degree=1, radian=0.017453, cos=1.000007, sin=0.017484
degree=2, radian=0.034907, cos=0.999552, sin=0.034875
degree=3, radian=0.052360, cos=0.998791, sin=0.052315
degree=4, radian=0.069813, cos=0.997725, sin=0.069741
degree=5, radian=0.087266, cos=0.996357, sin=0.087140
degree=6, radian=0.104720, cos=0.994684, sin=0.104518
degree=7, radian=0.122173, cos=0.992708, sin=0.121862
degree=8, radian=0.139626, cos=0.990424, sin=0.139214
degree=9, radian=0.157080, cos=0.987843, sin=0.156481
degree=10, radian=0.174533, cos=0.984961, sin=0.173698
degree=11, radian=0.191986, cos=0.981779, sin=0.190864
degree=12, radian=0.209440, cos=0.978302, sin=0.207955
degree=13, radian=0.226893, cos=0.974523, sin=0.224999
degree=14, radian=0.244346, cos=0.970448, sin=0.241973
degree=15, radian=0.261799, cos=0.966076, sin=0.258875
degree=16, radian=0.279253, cos=0.961415, sin=0.275682
degree=17, radian=0.296706, cos=0.956457, sin=0.292419
degree=18, radian=0.314159, cos=0.951207, sin=0.309070
degree=19, radian=0.331613, cos=0.945675, sin=0.325605
degree=20, radian=0.349066, cos=0.939848, sin=0.342060
degree=21, radian=0.366519, cos=0.933734, sin=0.358413
degree=22, radian=0.383972, cos=0.927343, sin=0.374641
degree=23, radian=0.401426, cos=0.920662, sin=0.390770
degree=24, radian=0.418879, cos=0.913702, sin=0.406779
degree=25, radian=0.436332, cos=0.906462, sin=0.422665
degree=26, radian=0.453786, cos=0.898927, sin=0.438463
degree=27, radian=0.471239, cos=0.891137, sin=0.454087
degree=28, radian=0.488692, cos=0.883076, sin=0.469571
degree=29, radian=0.506145, cos=0.874754, sin=0.484898
degree=30, radian=0.523599, cos=0.866157, sin=0.500093
degree=31, radian=0.541052, cos=0.857297, sin=0.515133
degree=32, radian=0.558505, cos=0.848174, sin=0.530019
degree=33, radian=0.575959, cos=0.838797, sin=0.544738
degree=34, radian=0.593412, cos=0.829161, sin=0.559296
degree=35, radian=0.610865, cos=0.819273, sin=0.573682
degree=36, radian=0.628319, cos=0.809135, sin=0.587895
degree=37, radian=0.645772, cos=0.798760, sin=0.601915
degree=38, radian=0.663225, cos=0.788133, sin=0.615764
degree=39, radian=0.680678, cos=0.777265, sin=0.629427
degree=40, radian=0.698132, cos=0.766171, sin=0.642885
degree=41, radian=0.715585, cos=0.754833, sin=0.656161
degree=42, radian=0.733038, cos=0.743266, sin=0.669235
degree=43, radian=0.750492, cos=0.731471, sin=0.682107
degree=44, radian=0.767945, cos=0.719466, sin=0.694758
degree=45, radian=0.785398, cos=0.707209, sin=0.707231
degree=46, radian=0.802851, cos=0.694758, sin=0.719466
degree=47, radian=0.820305, cos=0.682107, sin=0.731471
degree=48, radian=0.837758, cos=0.669235, sin=0.743266
degree=49, radian=0.855211, cos=0.656161, sin=0.754833
degree=50, radian=0.872665, cos=0.642885, sin=0.766171
degree=51, radian=0.890118, cos=0.629427, sin=0.777265
degree=52, radian=0.907571, cos=0.615764, sin=0.788133
degree=53, radian=0.925025, cos=0.601915, sin=0.798760
degree=54, radian=0.942478, cos=0.587895, sin=0.809135
degree=55, radian=0.959931, cos=0.573682, sin=0.819273
degree=56, radian=0.977384, cos=0.559296, sin=0.829161
degree=57, radian=0.994838, cos=0.544738, sin=0.838797
degree=58, radian=1.012291, cos=0.530019, sin=0.848174
degree=59, radian=1.029744, cos=0.515133, sin=0.857297
degree=60, radian=1.047198, cos=0.500093, sin=0.866157
degree=61, radian=1.064651, cos=0.484898, sin=0.874754
degree=62, radian=1.082104, cos=0.469571, sin=0.883076
degree=63, radian=1.099557, cos=0.454087, sin=0.891137
degree=64, radian=1.117011, cos=0.438463, sin=0.898927
degree=65, radian=1.134464, cos=0.422665, sin=0.906462
degree=66, radian=1.151917, cos=0.406779, sin=0.913702
degree=67, radian=1.169371, cos=0.390770, sin=0.920662
degree=68, radian=1.186824, cos=0.374641, sin=0.927343
degree=69, radian=1.204277, cos=0.358413, sin=0.933734
degree=70, radian=1.221730, cos=0.342060, sin=0.939848
degree=71, radian=1.239184, cos=0.325605, sin=0.945675
degree=72, radian=1.256637, cos=0.309070, sin=0.951207
degree=73, radian=1.274090, cos=0.292419, sin=0.956457
degree=74, radian=1.291544, cos=0.275682, sin=0.961415
degree=75, radian=1.308997, cos=0.258875, sin=0.966076
degree=76, radian=1.326450, cos=0.241973, sin=0.970448
degree=77, radian=1.343904, cos=0.224999, sin=0.974523
degree=78, radian=1.361357, cos=0.207955, sin=0.978302
degree=79, radian=1.378810, cos=0.190864, sin=0.981779
degree=80, radian=1.396263, cos=0.173698, sin=0.984961
degree=81, radian=1.413717, cos=0.156481, sin=0.987843
degree=82, radian=1.431170, cos=0.139214, sin=0.990424
degree=83, radian=1.448623, cos=0.121862, sin=0.992708
degree=84, radian=1.466077, cos=0.104518, sin=0.994684
degree=85, radian=1.483530, cos=0.087140, sin=0.996357
degree=86, radian=1.500983, cos=0.069741, sin=0.997725
degree=87, radian=1.518436, cos=0.052315, sin=0.998791
degree=88, radian=1.535890, cos=0.034875, sin=0.999552
degree=89, radian=1.553343, cos=0.017484, sin=1.000007
